,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
64,Danny Deckchair,Jeff Balsmeyer,Andrew Mason,"['Rhys Ifans', 'Miranda Otto']",Martin McGrath,Suresh Ayyar,"['David Donaldson', 'Steve Roche', 'Janet Roddick']",,Lions Gate Entertainment,2003-05-16,100.0,English,,,Australia,Jeff Balsmeyer
65,The Cookout,Lance Rivera,"['Shakim Compere', 'Queen Latifah']","['Ja Rule', 'Tim Meadows', 'Jenifer Lewis', 'Storm P.', 'Meagan Good', 'Jonathan Silverman', 'Farrah Fawcett', 'Frankie Faison', 'Eve', 'Danny Glover', 'Queen Latifah']",Tom Houghton,"['Patricia Bowers', 'Jeff McEvoy']",Camara Kambon,,Lions Gate Entertainment,2004-09-03,97.0,English,16000000.0,12009070.0,United States,
66,The Final Cut,Omar Naim,Nick Wechsler,"['Robin Williams', 'Mira Sorvino', 'Jim Caviezel', 'Mimi Kuzyk', 'Stephanie Romanov', 'Genevieve Buechner', 'Brendan Fletcher']",Tak Fujimoto,"['Dede Allen', 'Robert Brakey']",Brian Tyler,,Lions Gate Entertainment,2004-10-15,95.0,English,,3618825.0,,Omar Naim
67,Saw,James Wan,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']","['Cary Elwes', 'Danny Glover', 'Monica Potter', 'Michael Emerson', 'Ken Leung', 'Tobin Bell', 'Leigh Whannell']",David A. Armstrong,Kevin Greutert,Charlie Clouser,,Lions Gate Films,2004-01-19,103.0,English,1200000.0,103900000.0,United States,
68,I Am David,Paul Feig,"['Davina Belling', 'Lauren Levine', 'Clive Parsons']","['Ben Tibber', 'Jim Caviezel', 'Joan Plowright']",Roman Osin,Steven Weisberg,Stewart Copeland,"['Walden Media', 'Film and General']","['Lions Gate Films', '(North America)', 'Summit Entertainment', '(International)']",2003-05-15,90.0,English,7000000.0,292376.0,United States,
69,Beyond the Sea,Kevin Spacey,"['Kevin Spacey', 'Phillip Barry', 'Dana Brunetti', 'Arthur Friedman', 'Jan Fantl', 'Andy Paterson']","['Kevin Spacey', 'Kate Bosworth', 'Bob Hoskins', 'John Goodman']",Eduardo Serra,Trevor Waite,Bobby Darin,,Lions Gate Films,2004-12-17,118.0,English,25000000.0,8400000.0,United States,"['Lewis Colick', 'Kevin Spacey']"
70,Hotel Rwanda,Terry George,"['Terry George', 'A. Kitman Ho']","['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Nick Nolte']",Robert Fraisse,Naomi Geraghty,"['Afro Celt Sound System', 'Rupert Gregson-Williams', 'Andrea Guerra']","['United Artists', 'Lions Gate Films', 'Miracle Pictures', 'Seamus', 'The Industrial Development Corporation', 'Inside Track', 'Endgame Entertainment']","['MGM Distribution Co.', '(United States)', 'Entertainment Film Distributors', '(United Kingdom)', 'Mikado Film (Italy)']",2004-09-11,121.0,,17500000.0,33900000.0,,"['Keir Pearson', 'Terry George']"
71,A Love Song for Bobby Long,Shainee Gabel,"['Bob Yari', 'R. Paul Miller', 'David Lancaster']","['John Travolta', 'Scarlett Johansson']",Elliot Davis,"['Lee Percy', 'Lisa Fruchtman']",Nathan Larson,"['El Camino Pictures', 'Destination Films', 'Crossroads Films', 'Bob Yari Productions']",Lions Gate Films,2004-09-02,119.0,English,,1800000.0,United States,
72,Alone in the Dark,Uwe Boll,"['Uwe Boll', 'Wolfgang Herold', 'Shawn Williamson']","['Christian Slater', 'Tara Reid', 'Stephen Dorff']",Mathias Neumann,Richard Schwadel,"['Reinhard Besser', 'Oliver Lieb', 'Bernd Wendlandt', 'Peter Zweier']","['Boll KG Entertainment', 'Herold Productions', 'Brightlight Pictures', 'Infogrames Entertainment']","['Odeon Films (Canada)', 'Concorde Filmverleih (Germany)', 'Lions Gate Films (United States)']",2005-01-28,96.0,English,20000000.0,12700000.0,,"['Elan Mastai', 'Michael Roesch', 'Peter Scheerer']"
73,Cube Zero,Ernie Barbarash,"['Suzanne Colvin Goulding', 'Jon Goulding']","['Zachary Bennett', 'David Huband', 'Stephanie Moore', 'Michael Riley', 'Martin Roach']",François Dagenais,"['Mitchell Lackie', 'Mark Sanders']",Norman Orenstein,,Lions Gate Entertainment,2004-10-15,97.0,,,,Canada,Ernie Barbarash
74,Diary of a Mad Black Woman,Darren Grant,"['Reuben Cannon', 'Tyler Perry']","['Kimberly Elise', 'Steve Harris', 'Shemar Moore', 'Cicely Tyson', 'Tyler Perry']",David Claessen,Terilyn A. Shropshire,"['Camara Kambon', 'Tyler Perry']","['Lions Gate Films', 'BET Pictures']",Lions Gate Films,2005-02-25,116.0,English,5500000.0,50700000.0,United States,
75,State Property 2,Damon Dash,Damon Dash,"['Beanie Sigel', 'N.O.R.E', 'Damon Dash', 'DJ Clue?', 'Roselyn Sanchez', 'Juelz Santana', 'Winky Wright', ""Cam'ron"", 'Kanye West', ""Ol' Dirty Bastard""]",Tom Houghton,Gary Levy,"['Kerry Muzzey', 'Beanie Sigel']",['Dash Films'],Lionsgate Films,2005-04-13,94.0,English,2000000.0,1691706.0,United States,"['Adam Moreno', 'Damon Dash']"
76,House of D,David Duchovny,"['Jane Rosenthal', 'Bob Yari', 'Richard B. Lewis']","['Anton Yelchin', 'Téa Leoni', 'David Duchovny', 'Erykah Badu', 'Robin Williams']",Michael Chapman,Suzy Elmiger,Geoff Zanelli,"['Tribeca', 'Ovation Entertainment', 'Bob Yari Productions', 'Southpaw Entertainment']",Lionsgate,2004-05-07,97.0,,6000000.0,388532.0,United States,David Duchovny
77,Man-Thing,Brett Leonard,"['Avi Arad', 'Scott Karol', 'Gimel Everett', 'Christopher Petzel']","['Matthew Le Nevez', 'Rachael Taylor', 'Jack Thompson']",Steve Arnold,Martin Connor,Roger Mason,"['Lions Gate Films', 'Artisan Entertainment', 'Fierce Entertainment', 'Marvel Enterprises', 'Screenland Movieworld']",Sci-Fi Pictures,2005-04-21,97.0,English,5000000.0,1100000.0,,Hans Rodionoff
78,Crash,Paul Haggis,"['Don Cheadle', 'Paul Haggis', 'Mark R. Harris', 'Bobby Moresco', 'Cathy Schulman', 'Bob Yari']","['Sandra Bullock', 'Don Cheadle', 'Matt Dillon', 'Jennifer Esposito', 'William Fichtner', 'Brendan Fraser', 'Terrence Howard', 'Chris ""Ludacris"" Bridges', 'Thandiwe Newton', 'Michael Peña', 'Ryan Phillippe', 'Larenz Tate']",J. Michael Muro,Hughes Winborne,Mark Isham,"['Bob Yari Productions', 'DEJ Productions', 'Blackfriars Bridge', 'Harris Company', 'ApolloProScreen Productions', ""Bull's Eye Entertainment""]","['Lions Gate Films', '(United States)', 'Universum Film', '(Germany)']",2004-09-10,112.0,English,6500000.0,98400000.0,,
79,High Tension,Alexandre Aja,"['Alexandre Arcady', 'Robert Benmussa']","['Cécile de France', 'Maïwenn', 'Philippe Nahon']",Maxime Alexandre,Baxter,François Eudes,"['Alexandre Films', 'EuropaCorp']",EuropaCorp,2003-06-18,95.0,French,2500000.0,6800000.0,France,"['Alexandre Aja', 'Grégory Levasseur']"
80,Rize,David LaChapelle,"['Marc Hawker', 'David LaChapelle']","[""Lil' C"", 'Tommy the Clown', 'Miss Prissy']",Morgan Susser,Fernando Villena,"['Amy Marie Beauchamp', 'Jose Cancela']",,Lions Gate Films,2005-06-24,86.0,English,700000.0,4600000.0,United States,
81,Undead,The Spierig Brothers,The Spierig Brothers,"['Felicity Mason', 'Mungo McKay', 'Rob Jenkins']",Andrew Strahorn,The Spierig Brothers,Cliff Bradley,,Lions Gate Films,2003-02-27,104.0,English,,229250.0,Australia,The Spierig Brothers
82,Happy Endings,Don Roos,"['Michael Paseornek', 'Holly Wiersma']","['Tom Arnold', 'Jesse Bradford', 'Bobby Cannavale', 'Steve Coogan', 'Laura Dern', 'Maggie Gyllenhaal', 'Lisa Kudrow', 'Jason Ritter']",Clark Mathis,David Codron,,,Lions Gate Entertainment,2005-07-29,128.0,English,,1311633.0,United States,Don Roos
83,The Devil's Rejects,Rob Zombie,"['Mike Elliott', 'Andy Gould', 'Marco Mehlitz', 'Michael Ohoven', 'Rob Zombie']","['Sid Haig', 'Bill Moseley', 'Sheri Moon Zombie', 'Ken Foree', 'Matthew McGrory', 'William Forsythe']",Phil Parmet,Glenn Garland,Tyler Bates,,"['Lions Gate Films', '(United States)', 'Tiberius Film (Germany)']",2005-07-22,109.0,,7000000.0,20900000.0,,Rob Zombie
84,House of 1000 Corpses,Rob Zombie,Andy Gould,"['Sid Haig', 'Bill Moseley', 'Sheri Moon', 'Karen Black']","['Alex Poppas', 'Tom Richmond']","['Kathryn Himoff', 'Robert K. Lambert', 'Sean K. Lambert']","['Rob Zombie', 'Scott Humphrey']",,Lions Gate Films,2003-04-11,89.0,English,7000000.0,16800000.0,United States,Rob Zombie
85,Grizzly Man,Werner Herzog,"['Kevin Beggs', 'Billy Campbell', 'Phil Fairclough', 'Andrea Meditch', 'Erik Nelson', 'Tom Ortenberg', 'Jewel Palovak']","['Timothy Treadwell', 'Werner Herzog']",Peter Zeitlinger,Joe Bini,Richard Thompson,"['Discovery Docs', 'Real Big Production']",Lions Gate Films,2005-08-12,104.0,English,,4099999.9999999995,United States,Werner Herzog
86,Undiscovered,Meiert Avis,"['Michael Burns', 'Bic Tran', 'Marco Mehlitz', 'Michael Ohoven']","['Pell James', 'Steven Strait', 'Kip Pardue', 'Shannyn Sossamon', 'Carrie Fisher', 'Peter Weller', 'Fisher Stevens', 'Ashlee Simpson']",Danny Hiele,David Codron,David Baerwald,"['Cinejota', 'Lakeshore Entertainment']","['Lions Gate Entertainment', 'Cinerenta']",2005-08-26,97.0,English,9000000.0,1100000.0,United States,John Galt
87,Lord of War,Andrew Niccol,"['Nicolas Cage', 'Norm Golightly', 'Andy Grosch', 'Christopher Eberts', 'Chris Roberts', 'Philippe Rousselet', 'Andrew Niccol']","['Nicolas Cage', 'Jared Leto', 'Bridget Moynahan', 'Ian Holm', 'Ethan Hawke']",Amir Mokri,Zach Staenberg,Antonio Pinto,"['Entertainment Manufacturing Company', 'Saturn Films', 'Ascendant Pictures', 'VIP Medienfonds', 'Metro-Goldwyn-Mayer']","['Lions Gate Films', '(United States)', '20th Century Fox', '(Germany)', 'SND Films', '(France)']",2005-09-16,121.0,English,50000000.0,72600000.0,,Andrew Niccol
88,Waiting...,Rob McKittrick,"['Robert O. Green', 'Jeff Balis', 'Jay Rifkin', 'Adam Rosenfelt', 'Stavros Merjos', 'Malcolm Petal']","['Ryan Reynolds', 'Anna Faris', 'Justin Long', 'David Koechner', 'John Francis Daley', 'Kaitlin Doubleday', 'Alanna Ubach', 'Chi McBride', 'Luis Guzmán']",Matthew Irving,"['Andy Blumenthal', 'David Finfer']",Adam Gorgoni,"['Element Films', 'Eden Rock Media', 'Wisenheimer Films', 'LIFT Productions']",Lions Gate Films,2005-10-07,94.0,English,3000000.0,18600000.0,United States,Rob McKittrick
89,House of the Dead 2,Michael Hurst,"['Mark A. Altman', 'Mark Gottwald']","['Emmanuelle Vaugier', 'Ed Quinn', 'Victoria Pratt', 'Ellie Cornell', 'Sid Haig', 'Sticky Fingaz']",Raymond Stella,Joseph Gutowski,Joe Kraemer,"['Sega', 'Mindfire Entertainment']",Lionsgate Films,2005-10-14,96.0,English,,,United States,
90,2001 Maniacs,Tim Sullivan,"['Boaz Yakin', 'Scott Spiegel', 'Eli Roth', 'Christopher Tuffin', 'Brett W. Nemeroff']","['Robert Englund', 'Lin Shaye', 'Giuseppe Andrews', 'Jay Gillespie']",Steve Adcock,Michael Ross,Nathan Barr,"['Raw Nerve', 'Velvet Steamroller']",Lions Gate Films,2005-07-09,87.0,English,1500000.0,,United States,"['Chris Kobin', 'Tim Sullivan']"
91,Saw II,Darren Lynn Bousman,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']","['Donnie Wahlberg', 'Franky G', 'Glenn Plummer', 'Beverley Mitchell', 'Dina Meyer', 'Emmanuelle Vaugier', 'Erik Knudsen', 'Shawnee Smith', 'Tobin Bell']",David A. Armstrong,Kevin Greutert,Charlie Clouser,,Lions Gate Films,2005-10-28,93.0,English,4000000.0,147700000.0,,"['Leigh Whannell', 'Darren Lynn Bousman']"
92,Three... Extremes,"['Fruit Chan', 'Park Chan-wook', 'Takashi Miike']","['Ahn Soo-hyun', 'Peter Ho-sun Chan', 'Fumio Inoue', 'Naoki Sato', 'Shun Shimizu']","['Bai Ling', 'Tony Leung Ka-fai', 'Lee Byung-hun', 'Im Won-hee', 'Kyōko Hasegawa', 'Atsuro Watabe']","['Chung Chung-hoon', 'Christopher Doyle', 'Koichi Kawakami']",,"['Chan Kwong-wing', 'Kōji Endō', 'Peach Present']",,,2005-10-28,125.0,,,1590000.0,,"['Dumplings:', 'Lilian Lee', 'Cut:', 'Park Chan-wook', 'Box:', 'Bun Saikou', 'Haruko Fukushima']"
93,In the Mix,Ron Underwood,John Dellaverson,"['Usher', 'Chazz Palminteri', 'Emmanuelle Chriqui']",Clark Mathis,Don Brochu,Aaron Zigman,"['Lions Gate Films', 'J&C Entertainment', 'Ush Entertainment']",20th Century Fox,2005-11-23,95.0,English,,10223896.0,United States,
94,Hostel,Eli Roth,"['Chris Briggs', 'Mike Fleiss', 'Eli Roth']","['Jay Hernandez', 'Derek Richardson', 'Eyþór Guðjónsson', 'Barbara Nedeljáková', 'Rick Hoffman']",Milan Chadima,George Folsey Jr.,Nathan Barr,"['Next Entertainment', 'Raw Nerve']","['Lions Gate Films (United States)', 'Screen Gems (International; through Sony Pictures Releasing )', 'Falcon (Czech Republic)']",2005-09-17,94.0,English,4800000.0,82000000.0,,Eli Roth
95,A Good Woman,Mike Barker,"['Alan Greenspan', 'Jonathan English', 'Steven Siebert', 'Howard Himelstein']","['Helen Hunt', 'Scarlett Johansson', 'Tom Wilkinson', 'Stephen Campbell Moore', 'Mark Umbers', 'Milena Vukotic']",Ben Seresin,Neil Farrell,Richard G. Mitchell,"['Beyond Films', 'Magic Hour Media', 'Thema Production', 'Meltemi Entertainment', 'Lighthouse Entertainment', 'Buskin Film', 'Kanzaman']","['Lions Gate Films (United States)', 'Vertigo Films (United Kingdom)', '01 Distribution (Italy)', 'Columbia TriStar Films (Spain)']",2004-09-15,93.0,English,,6800000.0,,
96,Tamara,Jeremy Haft,"['Danny Fisher', 'Matt Milich', 'Chris Sievernich', 'Martin Wiley']","['Jenna Dewan', 'Katie Stuart', 'Chad Faust', 'Claudette Mink', 'Melissa Elias', 'Matthew Marsden']",Scott Kevan,Eric Strand,Michael Suby,"['Lionsgate', 'Armada Pictures', 'Integrated Films']",City Lights Picture Releasing,2005-10-23,94.0,English,3500000.0,206871.0,,Jeffrey Reddick
97,Madea's Family Reunion,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']","['Tyler Perry', 'Blair Underwood', 'Lynn Whitfield', 'Boris Kodjoe', 'Henry Simmons', 'Lisa Arrindell Anderson', 'Maya Angelou', 'Rochelle Aytes', 'Jenifer Lewis', 'Tangi Miller', 'Keke Palmer', 'Cicely Tyson']",Toyomichi Kurita,John Carter,Elvin Ross,"['Tyler Perry Studios', 'Reuben Cannon Productions']",Lions Gate Films,2006-02-24,109.0,English,6000000.0,63400000.0,United States,Tyler Perry
98,Don't Tell,Cristina Comencini,"['Marco Chimenz', 'Giovanni Stabilini']","['Giovanna Mezzogiorno', 'Alessio Boni', 'Luigi Lo Cascio']",Fabio Cianchetti,,,,Lionsgate Films,2005-09-09,120.0,,,,Italy,"['Cristina Comencini', 'Giulia Calenda', 'Francesca Marciano']"
99,Larry the Cable Guy: Health Inspector,Trent Cooper,"['Alan C. Blomquist', 'J.P. Williams']","['Larry the Cable Guy', 'Iris Bahr', 'Bruce Bruce', 'Joanna Cassidy', 'Brooke Dillman', 'Tony Hale', 'David Koechner', 'Lisa Lampanelli', 'Megyn Price', 'Tom Wilson', 'Joe Pantoliano']",Kim Marks,Gregg Featherman,"['Tim P.', 'Stephen Phillips']","['Samwilla', 'Shaler Entertainment', 'Parallel Entertainment', 'Pictures']",Lionsgate,2006-03-24,89.0,English,17000000.0,15700000.0,United States,"['Jonathan Bernstein', 'James Greer']"
100,La mujer de mi hermano,Ricardo de Montreuil,"['Stan Jakuvowicz (Shallow Entertainment)', 'Diego Valenzuela', 'Jaime Bayly', ""Muvie's Producciones""]","['Bárbara Mori', 'Manolo Cardona', 'Christian Meier']",Andrés Sánchez,,Atif Aslam,,"['20th Century Fox', '(Worldwide)', 'Lions Gate Entertainment', '(United States and Canada)']",2005-10-08,,Spanish,,,,Jaime Bayly
101,Hard Candy,David Slade,"['Rosanne Korenberg', 'Paul Allen']","['Elliot Page', 'Patrick Wilson', 'Sandra Oh', 'Odessa Rae']",Jo Willems,Art Jones,"['Molly Nyman', 'Harry Escott']","['Vulcan Productions', 'Launchpad Productions']",Lionsgate,2005-01-21,104.0,English,950000.0,8300000.000000001,United States,Brian Nelson
102,Akeelah and the Bee,Doug Atchison,"['Laurence Fishburne', 'Sid Ganis', 'Nancy Hult Ganis', 'Danny Llewelyn', 'Michael Romersa']","['Laurence Fishburne', 'Angela Bassett', 'Keke Palmer', 'Curtis Armstrong']",David Mullen,Glenn Farr,Aaron Zigman,"['Lionsgate', '2929 Entertainment', 'Starbucks Entertainment', 'Out of the Blue Entertainment', 'Reactor Films', 'Cinema Gypsy Productions']",Lionsgate,2006-03-16,112.0,English,6000000.0,19000000.0,United States,Doug Atchison
103,See No Evil,Gregory Dark,"['Vince McMahon', 'Joel Simon']","['Kane', 'Christina Vidal', 'Michael J. Pagan']",Ben Nott,Scott Richter,Tyler Bates,"['WWE Films', '(Eye Scream Productions)']",Lionsgate,2006-05-19,85.0,English,8000000.0,18600000.0,,Dan Madigan
104,Peaceful Warrior,Victor Salva,"['Robin Schorr', 'Mark Amin', 'David Welch', 'Cami Winikoff']","['Scott Mechlowicz', 'Nick Nolte', 'Amy Smart']",Sharone Meir,Ed Marx,Bennett Salvay,,"['Lionsgate', 'Universal Pictures']",2006-06-02,120.0,English,10000000.0,4300000.0,,
105,Leonard Cohen: I'm Your Man,Lian Lunson,"['Lian Lunson', 'Bruce Davey', 'Mel Gibson']","['Leonard Cohen', 'Perla Batalla', 'Bono', 'Nick Cave', 'Julie Christensen', 'Linda Thompson', 'Teddy Thompson', 'The Handsome Family', 'Beth Orton', 'Jarvis Cocker', 'Kate & Anna McGarrigle', 'Martha Wainwright', 'Rufus Wainwright']","['Geoffrey Hall', 'John Pirozzi']",Mike Cahill,Leonard Cohen,"['Sundance Channel', 'Horse Pictures']",Lionsgate,2005-09-11,103.0,English,,1398424.0,United States,Lian Lunson
106,The Descent,Neil Marshall,Christian Colson,"['Shauna Macdonald', 'Natalie Mendoza', 'Alex Reid', 'Saskia Mulder', 'Nora-Jane Noone', 'MyAnna Buring']",Sam McCurdy,Jon Harris,David Julyan,"['Celador Films', 'Northmen Productions']",Pathé Distribution,2005-07-06,100.0,English,4620000.0,57100000.0,United Kingdom,Neil Marshall
107,Deliver Us from Evil,Amy J. Berg,"['Amy J. Berg', 'Matthew Cooke', 'Frank Donner', 'Hermass Lassalle']","['Thomas P. Doyle', 'Ann Marie Jyono', 'Mr and Mrs Bob Jyono', 'Adam and Becky M', 'Nancy Sloan', ""Oliver O'Grady"", ""Dr. Mary Gail Frawley-O'Dea""]","['Jacob Kusk', 'Jens Schlosser']",Matthew Cooke,"['Joseph Arthur', 'Mick Harvey']",,Lionsgate,2006-10-13,101.0,English,,327205.0,United States,Amy J. Berg
108,Crank,Neveldine/Taylor,"['Michael Davis', 'Gary Lucchesi', 'Tom Rosenberg', 'Skip Williamson', 'Richard S. Wright']","['Jason Statham', 'Amy Smart', 'Jose Pablo Cantillo', 'Efren Ramirez', 'Dwight Yoakam']",Adam Biddle,Brian Berdan,Paul Haslinger,"['Lakeshore Entertainment', 'RadicalMedia']",Lionsgate,2006-09-01,88.0,English,12000000.0,42900000.0,United States,Neveldine/Taylor
109,The U.S. vs. John Lennon,"['David Leaf', 'John Scheinfeld']","['David Leaf', 'John Scheinfeld']",John Lennon,James Mathers,Peter S. Lynch II,John Lennon,,Lionsgate,2006-08-31,99.0,English,,1408065.0,United States,"['David Leaf', 'John Scheinfeld']"
110,Employee of the Month,Greg Coolidge,"['Andrew Panay', 'Peter Abrams', 'Barry Katz', 'Robert L. Levy', 'Joe Simpson', 'Brian Volk-Weiss']","['Dane Cook', 'Jessica Simpson', 'Dax Shepard', 'Andy Dick', 'Tim Bagley', 'Harland Williams', 'Efren Ramirez']",Anthony B. Richmond,Tom Lewis,John Swihart,,Lionsgate Films,2006-10-06,108.0,English,10000000.0,38400000.0,United States,
111,Saw III,Darren Lynn Bousman,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']","['Tobin Bell', 'Shawnee Smith', 'Angus Macfadyen', 'Bahar Soomekh', 'Dina Meyer']",David A. Armstrong,Kevin Greutert,Charlie Clouser,,Lionsgate,2006-10-27,108.0,English,10000000.0,164900000.0,,
112,Happily N'Ever After,"['Paul J. Bolger', 'Yvette Kaplan']",John H. Williams,"['Sarah Michelle Gellar', 'Freddie Prinze Jr.', 'Andy Dick', 'Wallace Shawn', 'Patrick Warburton', 'George Carlin', 'Sigourney Weaver']",David Dulac,Ringo Hess,Paul Buckley,"['BFC Berliner Film Companie', 'BAF Berlin Animation Film', 'Vanguard Animation']",Lionsgate,2006-12-16,87.0,,47000000.0,38000000.0,,Rob Moreland
113,Borderland,Zev Berman,Deborah Davis,"['Brian Presley', 'Jake Muxworthy', 'Rider Strong', 'Damián Alcázar', 'Sean Astin', 'Martha Higareda', 'Francesca Guillén', 'Beto Cuevas']",,,,,"['After Dark Films', 'Lionsgate']",2007-03-11,114.0,English,,,United States/Mexico,Zev Berman
114,Daddy's Little Girls,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']","['Gabrielle Union', 'Idris Elba', 'Louis Gossett Jr.']",Toyomichi Kurita,Maysie Hoy,Brian McKnight,"['Tyler Perry Studios', 'Reuben Cannon Productions']",Lionsgate,2007-02-14,95.0,English,10000000.0,31600000.0,United States,Tyler Perry
115,Pride,Sunu Gonera,"['Brett Forbes', 'Paul Hall', 'Patrick Rizzotti', 'Adam Rosenfelt', 'John Sacchi', 'Terrence Howard']","['Terrence Howard', 'Bernie Mac', 'Kimberly Elise', 'Tom Arnold']",Matthew F. Leonetti,Billy Fox,Aaron Zigman,"['Lionsgate', 'Cinerenta', 'Element Films', 'Fortress Features', 'LIFT Productions', 'Paul Hall Productions']",Lionsgate,2007-03-23,104.0,English,,7100000.0,United States,
116,Slow Burn,Wayne Beach,Stephen Break,"['Ray Liotta', 'LL Cool J', 'Mekhi Phifer', 'Bruce McGill', 'Chiwetel Ejiofor', 'Guy Torry', 'with', 'Taye Diggs', 'and', 'Jolene Blalock']",Wally Pfister,Kristina Boden,Jeff Rona,,"['DEJ Productions', 'GreeneStreet Films International', 'Lions Gate Entertainment']",2005-09-13,93.0,English,15500000.0,1797256.0,United States,"['Wayne Beach', 'Anthony Walton']"
117,The Condemned,Scott Wiper,Joel Simon,"['Steve Austin', 'Vinnie Jones', 'Robert Mammone', 'Tory Mussett', 'Manu Bennett', 'Madeleine West', 'Rick Hoffman']",Ross Emery,Derek Brechin,Graeme Revell,"['WWE Films', 'Colossal Entertainment', 'New Wave Entertainment']",Lionsgate,2007-04-27,113.0,English,,8600000.0,,
118,Away from Her,Sarah Polley,"['Daniel Iron', 'Simone Urdl', 'Jennifer Weiss']","['Julie Christie', 'Gordon Pinsent', 'Olympia Dukakis', 'Kristen Thomson', 'Michael Murphy', 'Wendy Crewson']",Luc Montpellier,David Wharnsby,Jonathan Goldsmith,"['Capri Releasing', 'Echo Lake Productions', 'Foundry Films', 'Hanway Films', 'The Film Farm']","['Capri Releasing', 'Pulling Focus Pictures', 'Lionsgate Films', '(US)']",2006-09-11,110.0,English,,9100000.0,Canada,
119,Delta Farce,C. B. Harding,"['Alan C. Blomquist', 'J.P. Williams']","['Larry the Cable Guy', 'Bill Engvall', 'DJ Qualls', 'Danny Trejo', 'Marisol Nichols', 'Keith David']",Tom Priestley Jr,Mark Conte,James S. Levine,"['Lionsgate', 'Shaler Entertainment', 'Samwilla Productions']",Lionsgate,2007-05-11,90.0,English,,8729473.0,United States,"['Bear Aderhold', 'Tom Sullivan']"
120,Bug,William Friedkin,"['Kimberly C. Anderson', 'Michael Burns', 'Gary Huckabay', 'Malcolm Petal', 'Andreas Schardt', 'Holly Wiersma']","['Ashley Judd', 'Michael Shannon', 'Lynn Collins', ""Brían F. O'Byrne"", 'Harry Connick Jr.']",Michael Grady,Darrin Navarro,Brian Tyler,"['DMK Mediafonds International', 'Inferno Distribution LLC', 'L.I.F.T. Productions']",Lionsgate,2006-05-19,102.0,English,4000000.0,8199999.999999999,,Tracy Letts
121,Hostel: Part II,Eli Roth,"['Chris Briggs', 'Mike Fleiss', 'Eli Roth']","['Lauren German', 'Roger Bart', 'Heather Matarazzo', 'Bijou Phillips', 'Richard Burgi']",Milan Chadima,George Folsey Jr.,Nathan Barr,"['Next Entertainment', 'Raw Nerve']","['Lionsgate', '(United States)', 'Screen Gems', '(International; through', 'Sony Pictures Releasing', ')']",2007-06-08,94.0,English,10200000.0,35600000.0,United States,Eli Roth
122,Fido,Andrew Currie,"['Trent Carlson', 'Blake Corbet', 'Mary Anne Waterhouse', 'Kevin Eastwood', 'Patrick Cassavetti']","['Carrie-Anne Moss', 'Billy Connolly', 'Dylan Baker', ""K'Sun Ray"", 'Henry Czerny', 'Tim Blake Nelson']",Jan Kiesser,Roger Mattiussi,Don Macdonald,"['Anagram Pictures', 'British Columbia Film Commission', 'Telefilm Canada']",TVA Films,2006-09-07,91.0,English,,426224.0,Canada,"['Robert Chomiak', 'Andrew Currie', 'Dennis Heaton']"
123,Sicko,Michael Moore,"['Michael Moore', ""Megan O'Hara""]",Michael Moore,"['Jayme Roy', 'Andrew Black']","['Geoffrey Richman', 'Christopher Seward', 'Dan Swietlik']",Erin O'Hara,,"['Lionsgate', 'The Weinstein Company']",2007-05-19,123.0,English,9000000.0,36000000.0,United States,Michael Moore
124,Captivity,Roland Joffé,"['Mark Damon', 'Sergei Konov', 'Gary Mehlman', 'Leonid Minkovski']","['Elisha Cuthbert', 'Daniel Gillies']",Daniel C. Pearl,Richard Nord,Marco Beltrami,"['After Dark Films', 'Freestyle Releasing', 'Foresight Unlimited', 'Russian American Movie Company']",['Lionsgate'],2007-07-13,85.0,,17000000.0,10900000.0,,
125,Bratz,Sean McNamara,"['Isaac Larian', 'Steven Paul', 'Avi Arad']","['Nathalia Ramos', 'Janel Parrish', 'Skyler Shaye', 'Logan Browning', 'Chelsea Staub', 'Lainie Kazan', 'Jon Voight']",Christian Sebaldt,Jeff W. Canavan,John Coda,"['Crystal Sky Pictures', 'MGA Entertainment', 'Arad Productions']",Lionsgate,2007-08-03,102.0,English,20000000.0,26000000.0,United States,
126,Skinwalkers,James Isaac,"['Dennis Berardi', 'Don Carmody']","['Jason Behr', 'Elias Koteas', 'Rhona Mitra', 'Kim Coates', 'Natassia Malthe', 'Sarah Carter', 'Lyriq Bent']","['David A. Armstrong', 'Adam Kane']",Allan Lee,Andrew Lockington,"['Constantin Film', 'Red Moon Films', 'Stan Winston Productions']","['After Dark Films', 'Freestyle Releasing']",2006-05-22,91.0,English,,3269736.0,,"['James DeMonaco', 'Todd Harthan', 'James Roday']"
127,Right at Your Door,Chris Gorak,"['Palmer West', 'Jonah Smith']","['Mary McCormack', 'Rory Cochrane', 'Scotty Noyd, Jr.', 'Max Kasch', 'Will McCormack']",Tom Richmond,Jeffrey M. Werner,tomandandy,,Roadside Attractions,2006-01-23,90.0,English,,2000000.0,United States,Chris Gorak
